Nombre beneficiario;Nombre operación;Montante;pagado final;concesión/año
Instituto Español de Comercio Exterior (ICEX) (MINECO);FORO ESPAÑA-PERÚ;12.858,75;12.858,75;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 1 COSMOPROF ASIA 2010 - HONG KONG - CHINA;1.553,89;1.553,89;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPI - GLOBE 2010 - VANCOUVER (CANADÁ);4.602,84;4.602,84;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 FOOD - HOTEL ASIA 2010-SINGAPUR;525,14;525,14;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 - SIAM 2010 - MEQUINEZ (MARRUECOS);51,33;51,33;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM JAMÓN SERRANO FRANCIA 2010;5.011,85;5.011,85;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM JAMÓN -SERRANO ALEMANIA 2010;7.537,55;7.537,55;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(4)LICENSING INTERNATIONAL EXPO-10;2.348,78;2.348,78;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 SIEE POLLUTEC ORAN 17-20 mayo 2010;6.502,27;6.502,27;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV2 FRANCIA 2010-PROM.VINOS ESP.LAVINIA (PU);1.803,06;1.803,06;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 2 COSMOPROF ASIA 2010 - HONG KONG - CHINA;2.598,47;2.598,47;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV JAPON 2010 ELABORACION GUIA BARES DE TAPAS;721,44;721,44;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 - COLLECTION PREMIERE II - MOSCU - 2010;9.166,08;9.166,08;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);MINV11 F.ALIMENTARIA-2010 BARCELONA (PC);927,13;927,13;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO - CHINA EDUCATION EXPO 2010 - BEIJING;22.223,36;22.223,36;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITUNA REPÚBLICA CHECA 2010;2.465,95;2.465,95;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITUNA AUSTRALIA 2010;5.005,87;5.005,87;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITE DE OLIVA AUSTRALIA 2010;3.023,35;3.023,35;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITUNA POLONIA 2010;5.023,38;5.023,38;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITE DE OLIVA POLONIA 2010;1.721,93;1.721,93;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO (7)- NAFSA 2010;1.804,64;1.804,64;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITE DE OLIVA RUSIA 2010;5.054,07;5.054,07;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 ALIMENTARIA 2010 - MÉXICO;1.001,26;1.001,26;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO6 VINEXPO ASIA-PACIFIC, Hong Kong (China);374,27;374,27;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);DISTRIB. NEWSLETTER EE.UU 2010 - FAMO;891,57;891,57;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 BIO INT.CONVENTION 2011-WASHINGTON DC(EE.UU.);2.577,05;2.577,05;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITE DE OLIVA REPÚBLICA CHECA 2010;1.595,00;1.595,00;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FORO ESPAÑA-PERÚ;52.614,75;52.614,75;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ACEITE DE OLIVA INDIA 2010;1.004,67;1.004,67;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(6)LICENSING INTERNATIONAL EXPO-10;2.088,87;2.088,87;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPROM2 DIRECTORIO/SEPARATA EMPRESAS EN MEXICO 2010;4.727,42;4.727,42;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2 - COLLECTION PREMIERE II - MOSCU - 2010;1.397,64;1.397,64;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PLAN VENTA DERECHOS EDITORIAL EN FRANCIA 2010;2.523,71;2.523,71;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 FOOD - HOTEL ASIA 2010-SINGAPUR;157,97;157,97;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV SUIZA DIA DEL VINO Y KLEIN - FEIN 2011 (PU);1.699,57;1.699,57;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO (2) - CHINA EDUCATION EXPO 2010 - BEIJING;719,19;719,19;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 COLLECTION PREMIERE II - MOSCU - 2010;755,72;755,72;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 3 COSMOPROF ASIA 2010 - HONG KONG - CHINA;2.591,88;2.591,88;2010
