Nombre beneficiario;Nombre operación;Montante;pagado final;concesión/año
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 ISM 2011, COLONIA (PI);16.465,52;16.465,52;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 PRODEXPO 2011 - MOSCÚ;35.222,92;35.222,92;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FP04 FOOD AND HOTEL CHINA 2010 - SHANGHAI;1.273,62;1.273,62;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF (1)NATPE 2011;13.110,51;13.110,51;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV BÉLGICA 2010 - GUIA DE COMPRAS 2010/2011 (PI);7.116,98;7.116,98;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 - HONG KONG INT. WINE AND SPIRITS FAIR 2010;20.590,37;20.590,37;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPROM3 DIRECTORIO/SEPARATA EMPRESAS EN MEXICO 2010;21.072,10;21.072,10;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1-AIA-11-NUEVA ORLEANS-EE.UU.;5.926,24;5.926,24;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 VINEXPO 2011 - BURDEOS (PI);4.559,63;4.559,63;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV SUIZA 2008-PRESENTACIÓN DIA DEL VINO 2008 (PI);7.422,70;7.422,70;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF(2) - ALA 2008;6.018,60;6.018,60;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF(2) - BEA 2008;34.087,91;34.087,91;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 MOSBUILD 2008 - MOSCU - RUSIA;27.166,25;27.166,25;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF (2) MIPCOM'08 - CANNES;10.756,38;10.756,38;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV2 JAPON 2008 - AGENCIA DE VINOS 2008 (PU);3.935,49;3.935,49;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGA EEUU PROGRAMA SPANISH PANTRY 2008 (PI);36.606,17;36.606,17;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);MEDPRO REVISTA FOODS FROM SPAIN NEWS 2008 (PI);42.850,05;42.850,05;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 - COLLECTION PREMIERE MOSCOW I - 2008;20.430,39;20.430,39;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);OAP- VIAJE FERIA BREAD&BUTTER - ENERO 08 - TOKIO;2.334,50;2.334,50;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPROM-PCOM RUSIA - CALZADO - 2008;27.577,99;27.577,99;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPROM-PCOM ESTADOS UNIDOS - CALZADO - 2008;51.171,71;51.171,71;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO6 FOODEX 2008-TOKIO (PC);3.015,01;3.015,01;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 1 FOOD & HOTEL ASIA 2008, Singapur (PI);9.419,44;9.419,44;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF (2) BERLINALE (EFM) 2008 - BERLÍN - ALEMANIA;9.683,26;9.683,26;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF 3 FRUIT LOGISTICA 2008, BERLÍN (PC);15.342,05;15.342,05;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);PINF-MIDEM 08-CANNES;9.283,78;9.283,78;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);MPROM-PORTAL SPAINEDU 08 EEUU;4.567,82;4.567,82;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF-AIEA 08-ASSOCIATION OF INT. EDU.;6.460,97;6.460,97;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);MPROM-COMPRA STAN MÓVIL Y MAT.PROM. 08;2.350,63;2.350,63;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO4 COVERINGS 2008 - ORLANDO - EEUU;9.713,82;9.713,82;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO (4) SITL PARÍS 2008;9.658,38;9.658,38;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);SSPP-JORNADAS(5)I.CULTURALES 08;18.814,80;18.814,80;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);SSPP-PROGRAMA ASESORAMIENTO Y MARKETING;9.622,64;9.622,64;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);SSPP-APLICACIÓN PROG. ASESORAMIENTO Y MARKETING;17.641,50;17.641,50;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);ELAB.DIRECT.EQUIP.INSTALAC.Y SERV.ELECTRONICA;2.039,57;2.039,57;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 2 PROWEIN 2008, Düsseldorf (PC);1.972,85;1.972,85;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM ALEMANIA 2008 - AZULEJO - ASCER;38.241,88;38.241,88;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);CAMPAÑA DE COMUNICACIÓN ALEMANIA - PHE 2008;73.964,75;73.964,75;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);CAMPAÑA DE COMUNICACIÓN ITALIA - PHE 2008;13.153,69;13.153,69;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);CAMPAÑA DE COMUNICACIÓN FRANCIA - PHE 2008;74.845,34;74.845,34;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);CAMPAÑA DE COMUNICACIÓN RUSIA - PHE 2008;44.249,02;44.249,02;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);CPSM FRANCIA 2008 - AZULEJO - ASCER;14.750,53;14.750,53;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);CAMPAÑA DE COMUNICACIÓN JAPÓN - PHE 2008;41.413,66;41.413,66;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);CAMPAÑA DE COMUNICACIÓN REINO UNIDO - PHE 2008;135.785,60;135.386,55;2008
Instituto Español de Comercio Exterior (ICEX) (MINECO);CAMPAÑA DE COMUNICACIÓN EE.UU. - PHE 2008;89.220,09;89.220,09;2008
